dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_frozen,combined_shuffled,3,0.471010943253835,0.00486861633608679,0.36980816229966,0.46665578087170917,0.0043551623821258545,0.6666666666666666,0.6673532327016195,0.034817603106300034,0.03263016417622566,0.0450437863667806,0.0233706949899594,0.28857232133547467,0.21583461264769235,5.5462400913238525,0.5605534811814626,0.27416427433490753,0.024690464767617243,0.04864087837520311,-0.12880924393030593,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,3,0.4703576664129893,0.005268554962118445,0.36616018234443853,0.46665578087170917,0.003701885541280111,0.6666666666666666,0.6667726337909698,0.016631070524454117,0.01546012486020724,0.028387486934661865,0.016273433963457744,0.19671415289243063,0.12253008286158244,4.538522879282634,0.5175573428471884,0.19842476646105447,-0.20705342847265473,-0.3420911716070046,nan,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,feature_only,3,0.4703576664129893,0.005333962791590842,0.3663618313840985,0.46665578087170917,0.003701885541280111,0.6666666666666666,0.6669617394606272,0.01646112526456515,0.015314154326915741,0.028340200583140056,0.016015587374567986,0.19309679667154947,0.12245882550875346,4.588511149088542,0.5143030881881714,0.19932846228281656,-0.19089371138834682,-0.3380472506900235,nan,166144.0,156544.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,3,0.46665578087170917,0.008611430976299812,0.35702417410472903,0.46665578087170917,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,3,0.4686700403690338,0.006367797675846068,0.3651347506299325,0.46665578087170917,0.0020142594973246255,0.6666666666666666,0.66629492243131,0.015313537791371346,0.013413975636164347,0.028552353382110596,0.016001914938290913,0.19295673569043478,0.10445843140284221,4.3409812450408936,0.5158968766530355,0.19728793700536093,-0.26233137432134357,-0.5499074179619394,-0.49331056302303433,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,3,0.4691055615743001,0.006206586061583137,0.36540662705682164,0.46665578087170917,0.0024497807025909424,0.6666666666666666,0.6665087938308716,0.015738841146230698,0.014106720685958862,0.02841988205909729,0.016161123290657997,0.1947321097056071,0.10920922458171844,4.362579743067424,0.5170122186342875,0.19746053715546927,-0.18241259181341976,-0.19905936620414713,-0.3172878523374604,166144.0,157568.0,0.0
Cora,iterative_relation_finetune,combined,3,0.6910000244776408,0.0029439093825686454,0.6726412260866658,0.6823333501815796,0.008666674296061197,0.8333333333333334,0.8295165499051412,0.020231927434603374,0.0161655208406349,0.05921932061513265,0.004967884471019109,0.073155893633763,0.12424512455860774,5.280448913574219,0.4940391381581624,0.19626501202583313,-0.02913659035207759,0.09806362161353728,-0.13558202193815883,333639.0,166144.0,167495.0
Cora,iterative_relation_finetune,combined_constant,3,0.6916666825612386,0.007586541374103053,0.674894885596719,0.6823333501815796,0.009333332379659018,0.8333333333333334,0.8284821708997091,0.025223830714821815,0.01983609391997258,0.06939878066380818,0.006034073419868946,0.08856189250946045,0.1380599985520045,5.746315797170003,0.48786627252896625,0.22683163980642954,-0.0947598889011495,-0.20947112018989084,nan,333639.0,166144.0,167495.0
Cora,iterative_relation_finetune,combined_shuffled,3,0.6900000174840292,0.009416299075714915,0.6720418905399006,0.6823333501815796,0.007666667302449544,0.8333333333333334,0.8293770949045817,0.02177311759442091,0.017170559304455917,0.06664297978083293,0.00520432204939425,0.07626883561412494,0.11858835816383362,5.27743927637736,0.4912837743759155,0.19941156109174094,-0.05918403505352955,-0.15501121400521414,0.2685207502493561,333639.0,166144.0,167495.0
Cora,iterative_relation_finetune,constant_reliability,3,0.684000035127004,0.010614459280701868,0.6653240643187346,0.6823333501815796,0.0016666849454243977,0.8333333333333334,0.8271141648292542,0.026738566036025684,0.02001471413920323,0.07715791463851929,0.007740125525742769,0.11312038451433182,0.12399377425511678,5.27427864074707,0.49071980516115826,0.21314603090286255,-0.15841089464707786,-0.4295576913016594,nan,333639.0,157568.0,167495.0
Cora,iterative_relation_finetune,feature_only,3,0.6823333501815796,0.008730522390389146,0.6645328922158885,0.6823333501815796,0.0,0.8333333333333334,0.8302989602088928,0.013676875891784826,0.01076938584446907,0.053659637769063316,0.003117909460949401,0.045458378891150154,0.10841277241706848,3.8415157000223794,0.48947752515474957,0.1388341784477234,-0.108819162586105,-0.2617080399628746,nan,333639.0,156544.0,167495.0
Cora,iterative_relation_finetune,fixed,3,0.7146667043368021,0.0032998373293481164,0.6969987080476139,0.6823333501815796,0.03233335415522257,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,167495.0,0.0,167495.0
Cora,iterative_relation_finetune,reliability_only,3,0.6863333781560262,0.006128264165080021,0.6698540105476475,0.6823333501815796,0.004000027974446614,0.8333333333333334,0.8305890560150146,0.01584445685148239,0.01078993066524466,0.06463509798049927,0.0045394799672067165,0.06948037942250569,0.0614848348001639,3.9444530804951987,0.4948820968468984,0.150308296084404,-0.02278862076622758,-0.022113065114383112,-0.1830824917461758,333639.0,157568.0,167495.0
Cora,iterative_relation_finetune,shuffled_reliability,3,0.6880000233650208,0.010198036315239446,0.6698394342238694,0.6823333501815796,0.005666673183441162,0.8333333333333334,0.8279796441396078,0.023783930266896885,0.0158769969517986,0.07447584470113118,0.0068393670953810215,0.10831671704848607,0.07838874931136768,4.851017316182454,0.5026386876900991,0.21049107611179352,-0.04069031305947492,-0.11062663568798534,0.16181986990639366,333639.0,157568.0,167495.0
Cora,iterative_relation_frozen,combined,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.2899675369262695,0.4956505795319875,0.09080016364653905,nan,nan,nan,166144.0,166144.0,0.0
Cora,iterative_relation_frozen,combined_constant,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.248246669769287,0.4961933195590973,0.09029035021861394,nan,nan,nan,166144.0,166144.0,0.0
Cora,iterative_relation_frozen,combined_shuffled,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.2910565535227456,0.495651642481486,0.09071408957242966,nan,nan,nan,166144.0,166144.0,0.0
Cora,iterative_relation_frozen,constant_reliability,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.8066552480061848,0.4978150725364685,0.0709051713347435,nan,nan,nan,166144.0,157568.0,0.0
