"strength","dataset","family","comparison","n","delta","low","high","wins","ties","losses"
"0.10","Citeseer","hidden_mixing_frozen","combined - fixed","5","0.000600004196166992","-0.00106587451737899","0.00226588290971298","1","4","0"
"0.10","Citeseer","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.000199997425079346","-0.000355284446834367","0.000755279296993059","1","4","0"
"0.10","Citeseer","hidden_mixing_frozen","true reliability - constant reliability","5","0.000399994850158691","-0.000710568893668734","0.00151055859398612","1","4","0"
"0.10","Citeseer","hidden_mixing_frozen","true reliability - zero reliability","5","0.000199997425079346","-0.000355284446834367","0.000755279296993059","1","4","0"
"0.10","Citeseer","hidden_mixing_frozen","combined - feature_only","5","0.000600004196166992","-0.00106587451737899","0.00226588290971298","1","4","0"
"0.10","Citeseer","hidden_mixing_frozen","combined - combined_shuffled","5","0.000800013542175293","-0.000818931456938439","0.00241895854128902","2","3","0"
"0.10","Citeseer","hidden_mixing_frozen","combined - combined_constant","5","0.000400006771087646","-0.000710590070544626","0.00151060361271992","1","4","0"
"0.10","Citeseer","hidden_mixing_finetune","reliability_only - fixed","5","-0.00100001096725464","-0.017519276146234","0.0155192542117247","1","2","2"
"0.10","Citeseer","hidden_mixing_finetune","combined - fixed","5","-0.00500000715255737","-0.0135124385072521","0.00351242420213731","0","3","2"
"0.10","Citeseer","hidden_mixing_finetune","true reliability - shuffled reliability","5","-0.00119999647140503","-0.00453172080069215","0.00213172785788209","0","4","1"
"0.10","Citeseer","hidden_mixing_finetune","true reliability - constant reliability","5","-0.00200001001358032","-0.00582709224248462","0.00182707221532398","0","3","2"
"0.10","Citeseer","hidden_mixing_finetune","true reliability - zero reliability","5","-0.00160000324249268","-0.00538658629852269","0.00218657981353733","0","3","2"
"0.10","Citeseer","hidden_mixing_finetune","combined - feature_only","5","0","0","0","0","5","0"
"0.10","Citeseer","hidden_mixing_finetune","combined - combined_shuffled","5","0","0","0","0","5","0"
"0.10","Citeseer","hidden_mixing_finetune","combined - combined_constant","5","-0.00140000581741333","-0.00528704511641901","0.00248703348159235","0","4","1"
"0.10","Pubmed","hidden_mixing_frozen","reliability_only - fixed","5","0","0","0","0","5","0"
"0.10","Pubmed","hidden_mixing_frozen","combined - fixed","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.10","Pubmed","hidden_mixing_frozen","true reliability - shuffled reliability","5","0","-0.000877977729324607","0.000877977729324607","1","3","1"
"0.10","Pubmed","hidden_mixing_frozen","true reliability - constant reliability","5","0","0","0","0","5","0"
"0.10","Pubmed","hidden_mixing_frozen","true reliability - zero reliability","5","0","0","0","0","5","0"
"0.10","Pubmed","hidden_mixing_frozen","combined - feature_only","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.10","Pubmed","hidden_mixing_frozen","combined - combined_shuffled","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.10","Pubmed","hidden_mixing_frozen","combined - combined_constant","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
