dataset,family,control_mode,split,seed,base_alpha,test_accuracy,fixed_test_accuracy,accuracy_delta_pp,corrected_rate,harmed_rate,net_correction_rate,margin_delta_mean,alpha_abs_adjustment_mean,alpha_signed_adjustment_mean,alpha_channel_std_mean,local_channel_fraction_mean,relation_norm_mean,base_mixed_norm_mean,relation_to_base_norm_mean,weighted_local_shift_mean,corr_relation_ratio_margin_delta,corr_alpha_abs_margin_delta,corr_weighted_shift_margin_delta,corrected_relation_norm_mean,harmed_relation_norm_mean,corrected_relation_to_base_norm,harmed_relation_to_base_norm,corrected_alpha_abs_mean,harmed_alpha_abs_mean,corrected_weighted_local_shift_mean,harmed_weighted_local_shift_mean,preference_count,weighted_shift_auc_local_preference,local_channel_fraction_auc_local_preference,alpha_abs_auc_changed_prediction,payload_path
Roman-empire,iterative_relation_finetune,reliability_only,0,0,0.75,0.8393928408622742,0.809036374092102,3.035646677017212,0.04729968309402466,0.01694316975772381,0.03035651333630085,0.8769059181213379,0.053312938660383224,0.03119516745209694,0.0515771321952343,0.7124349474906921,0.6301466822624207,1.994727611541748,0.31590613105083204,0.0036962528247386217,0.0032138493843376637,-0.013240707106888294,-0.1263536810874939,0.6141111850738525,0.615031898021698,0.32430553706306814,0.3202125162425602,0.05204761028289795,0.05240984633564949,0.0063349101692438126,0.0058296374045312405,0,nan,nan,0.41937066688676133,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_reliability_only\split0_seed0.pt
Roman-empire,iterative_relation_finetune,combined,0,0,0.75,0.8374514579772949,0.809036374092102,2.841508388519287,0.04747617244720459,0.019061066210269928,0.028415106236934662,0.8781183958053589,0.051930807530879974,0.03331530839204788,0.04811999946832657,0.728743851184845,0.6317199468612671,2.0052855014801025,0.31502743444511727,0.004989463370293379,-0.020894266664981842,-0.05877566710114479,-0.08834698796272278,0.6148416996002197,0.631218433380127,0.3238197737735709,0.3288133414516538,0.05083400383591652,0.05147557705640793,0.0076811304315924644,0.007952403277158737,0,nan,nan,0.43198186837879204,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_combined\split0_seed0.pt
Roman-empire,iterative_relation_finetune,reliability_only,1,0,1.0,0.8533356785774231,0.8240381479263306,2.929753065109253,0.05435933545231819,0.025061771273612976,0.029297564178705215,1.3558162450790405,0.01729445531964302,-0.01729445531964302,0.027939457446336746,0.0,1.7263761758804321,2.374680995941162,0.7269928798146692,-0.016640977934002876,0.10506473481655121,0.059686657041311264,-0.07353536784648895,1.743678331375122,1.6423070430755615,0.75398994654916,0.7240967967738473,0.016306128352880478,0.015873683616518974,-0.0161004476249218,-0.015359262004494667,0,nan,nan,0.4315289126335638,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_reliability_only\split1_seed0.pt
Roman-empire,iterative_relation_finetune,combined,1,0,1.0,0.8515707850456238,0.8240381479263306,2.7532637119293213,0.052947405725717545,0.025414755567908287,0.027532650157809258,1.1722910404205322,0.016480762511491776,-0.016480762511491776,0.02653118222951889,0.0,1.6068872213363647,2.280564069747925,0.7046007795404656,-0.016249528154730797,0.097523994743824,0.05035524442791939,-0.04892311990261078,1.59891676902771,1.526900291442871,0.7189903558798793,0.7056559940746918,0.014668738469481468,0.014126595109701157,-0.014865976758301258,-0.014022852294147015,0,nan,nan,0.35993091739925626,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_combined\split1_seed0.pt
Roman-empire,iterative_relation_finetune,reliability_only,2,0,0.75,0.8438051342964172,0.8155665397644043,2.823859453201294,0.044299330562353134,0.016060713678598404,0.02823861688375473,0.9572560787200928,0.04963859170675278,0.027857637032866478,0.05006084963679314,0.6937461495399475,0.6249741315841675,2.006941318511963,0.311406280701596,-0.0030125014018267393,-0.10246209800243378,0.043669186532497406,-0.06682318449020386,0.610994279384613,0.6163762211799622,0.32797644201985804,0.3261916267696576,0.04919677600264549,0.04937326908111572,-0.0012680166400969028,-0.0018350385362282395,0,nan,nan,0.4538080961927913,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_reliability_only\split2_seed0.pt
Roman-empire,iterative_relation_finetune,combined,2,0,0.75,0.8429226875305176,0.8155665397644043,2.735614776611328,0.04165196046233177,0.014295799657702446,0.027356160804629326,0.8508667945861816,0.04927894473075867,0.029293028637766838,0.048823025077581406,0.7014607191085815,0.620267391204834,1.9842743873596191,0.3125915423573021,-0.003224046668037772,-0.06928570568561554,0.057495951652526855,-0.03592478856444359,0.5919525623321533,0.5969774723052979,0.3188977733160126,0.3200647363158985,0.04835199937224388,0.04873514920473099,-0.0007999305962584913,-0.002032570308074355,0,nan,nan,0.43969621022252603,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_combined\split2_seed0.pt
Roman-empire,iterative_relation_finetune,reliability_only,3,0,0.75,0.8409813046455383,0.821037769317627,1.9943535327911377,0.03653370961546898,0.016590187326073647,0.019943522289395332,0.3464739918708801,0.05883277952671051,0.03401893004775047,0.05604991689324379,0.7140081524848938,0.8584809303283691,2.152700424194336,0.39879256801357393,0.006209454033523798,0.02690923772752285,0.016305552795529366,0.01794523186981678,0.901407778263092,0.8657228350639343,0.4463284527879929,0.42719130700768826,0.059074126183986664,0.05880581960082054,0.009242185391485691,0.008247501216828823,0,nan,nan,0.5244051242132798,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_reliability_only\split3_seed0.pt
Roman-empire,iterative_relation_finetune,combined,3,0,0.75,0.8395693898200989,0.821037769317627,1.8531620502471924,0.033709846436977386,0.015178256668150425,0.01853158976882696,0.2903050482273102,0.06005832552909851,0.035632453858852386,0.0562942773103714,0.7237344980239868,0.818953812122345,2.151020050048828,0.3807281164597953,0.005750546231865883,-0.0009246828849427402,0.024417363107204437,0.0005246291984803975,0.8853411674499512,0.8435200452804565,0.44468866021702314,0.4108392398106227,0.06070414558053017,0.06041533499956131,0.009456740692257881,0.008024599403142929,0,nan,nan,0.5442257711165274,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_combined\split3_seed0.pt
Roman-empire,iterative_relation_finetune,reliability_only,4,0,0.5,0.8422167301177979,0.8148605823516846,2.735614776611328,0.04341687262058258,0.016060713678598404,0.027356158941984177,0.71902996301651,0.057866714894771576,0.041414543986320496,0.05004710331559181,0.7783889174461365,0.5348749756813049,1.6376923322677612,0.3266028454445089,0.011665365658700466,0.06925659626722336,0.06377477943897247,-0.09962800145149231,0.5523085594177246,0.5262317657470703,0.35319076921200443,0.3431500575667222,0.057258471846580505,0.05615966394543648,0.01743317022919655,0.01732546277344227,0,nan,nan,0.436401692768985,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_reliability_only\split4_seed0.pt
Roman-empire,iterative_relation_finetune,combined,4,0,0.5,0.8402753472328186,0.8148605823516846,2.5414764881134033,0.041828449815511703,0.016413696110248566,0.025414753705263138,0.4942716062068939,0.057997122406959534,0.04357001557946205,0.048133544623851776,0.7987585067749023,0.5638935565948486,1.6208537817001343,0.34789909056656143,0.019763117656111717,0.03607838600873947,0.011243924498558044,-0.026843834668397903,0.5786975026130676,0.5502607822418213,0.3744479563886415,0.36074302439683154,0.05706547945737839,0.05701866000890732,0.02418781816959381,0.023648498579859734,0,nan,nan,0.43532602882468835,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_combined\split4_seed0.pt
Roman-empire,iterative_relation_finetune,reliability_only,5,0,0.75,0.8513942956924438,0.8400988578796387,1.1295437812805176,0.03035651333630085,0.019061066210269928,0.011295447126030922,0.6209618449211121,0.05404035001993179,0.032671526074409485,0.052387628704309464,0.7111843228340149,0.7759817838668823,2.0616979598999023,0.37637995427058435,0.006511450745165348,-0.13059447705745697,-0.10860615223646164,-0.1807229071855545,0.830944836139679,0.8285033106803894,0.42212889517066876,0.41980087757240925,0.05514209717512131,0.05503536015748978,0.011340559460222721,0.011048010550439358,0,nan,nan,0.5842696402696402,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_reliability_only\split5_seed0.pt
