alpha_pearson_test,alpha_spearman_test,component,component_auc_for_local_preference,component_corr_local_advantage,control_mode,dataset,family,seed,split,test_count
-0.1631971589050917,-0.18649654418695993,rwse,0.328125,-0.03077017850128949,combined,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,degree,0.5,-0.003941174517971103,combined,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,local_similarity,0.71875,-0.022556989979954558,combined,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,neighbor_variance,0.59375,0.014889170795232935,combined,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,rwse,0.21875,-0.0327460399937359,combined,Amazon-ratings,iterative_relation_frozen,0,7,6123
-0.20484352988379084,-0.23560897389361007,degree,0.5116758241758241,-0.016705232136115307,combined,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.3372384658055354,-0.33306411701100647,local_similarity,0.5280785391079509,-0.02325218495218978,combined,Amazon-ratings,iterative_relation_frozen,0,8,6123
0.2459104655167273,0.24659444006845302,neighbor_variance,0.4475126589097177,0.00529732351330628,combined,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.2590177427925665,-0.2736570910094809,rwse,0.4771331609566904,-0.03579353529646454,combined,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.204339871852699,-0.22566337818965934,degree,0.5686274509803922,-0.018889981198007617,combined,Amazon-ratings,iterative_relation_frozen,0,9,6123
-0.317288241055002,-0.3216823727443972,local_similarity,0.5359477124183007,-0.035304555327520186,combined,Amazon-ratings,iterative_relation_frozen,0,9,6123
0.22379891713840916,0.2300718171637525,neighbor_variance,0.522875816993464,0.01314494719722536,combined,Amazon-ratings,iterative_relation_frozen,0,9,6123
-0.3467404624904767,-0.3364577027502559,rwse,0.5751633986928104,-0.04571969078595733,combined,Amazon-ratings,iterative_relation_frozen,0,9,6123
nan,nan,degree,0.4722222222222222,-0.025179032024849477,fixed,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,local_similarity,0.3472222222222222,-0.031188094769786037,fixed,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,neighbor_variance,0.7083333333333333,0.02106865325068719,fixed,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,rwse,0.2638888888888889,-0.04294996163853893,fixed,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,degree,0.5363636363636364,-0.01961692006491941,fixed,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,local_similarity,0.5181818181818182,-0.032304345181239286,fixed,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,neighbor_variance,0.5818181818181818,0.013343135839450985,fixed,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,rwse,0.5909090909090908,-0.02212349587060006,fixed,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,degree,0.5526315789473684,-0.0015979693265965756,fixed,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,local_similarity,0.4093567251461988,-0.03470584701383879,fixed,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,neighbor_variance,0.7543859649122807,0.025092257441709207,fixed,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,rwse,0.4152046783625731,-0.0490418680769401,fixed,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,degree,0.3324175824175824,-0.008796639985684331,fixed,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,local_similarity,0.45054945054945056,-0.036388072681429455,fixed,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,neighbor_variance,0.5824175824175823,0.013718415037650023,fixed,Amazon-ratings,iterative_relation_frozen,0,3,6123
