alpha_mean,bucket,control_mode,count,dataset,degree_mean,family,fraction_of_test,global_preference_rate,local_advantage_mean,local_preference_rate,local_similarity_mean,neighbor_variance_mean,rwse_mean,seed,split,test_accuracy
1.0,low,reliability_only,6123,Amazon-ratings,0.009832475334405899,iterative_relation_finetune,1.0,0.3333333432674408,0.07032939046621323,0.6666666865348816,0.5263234972953796,0.00396599480882287,-0.0063969288021326065,0,7,0.4634982943534851
nan,mid,reliability_only,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,7,nan
1.0,high,reliability_only,6123,Amazon-ratings,0.009832475334405899,iterative_relation_finetune,1.0,0.3333333432674408,0.07032939046621323,0.6666666865348816,0.5263234972953796,0.00396599480882287,-0.0063969288021326065,0,7,0.4634982943534851
0.7898133993148804,low,reliability_only,1531,Amazon-ratings,-0.26934194564819336,iterative_relation_finetune,0.25004082965866403,0.44805195927619934,0.0486488863825798,0.551948070526123,0.6462165713310242,-0.49152708053588867,0.5255122780799866,0,8,0.42586544156074524
0.7950242757797241,mid,reliability_only,3061,Amazon-ratings,0.1148306354880333,iterative_relation_finetune,0.4999183406826719,0.49642857909202576,0.0663144662976265,0.5035714507102966,0.5226022005081177,0.07918616384267807,-0.06535203754901886,0,8,0.4661875069141388
0.7989447116851807,high,reliability_only,1531,Amazon-ratings,0.0642271339893341,iterative_relation_finetune,0.25004082965866403,0.5765765905380249,0.07394774258136749,0.4234234094619751,0.4070013165473938,0.40912896394729614,-0.3770498037338257,0,8,0.5682560205459595
0.75,low,reliability_only,6123,Amazon-ratings,0.0018931688973680139,iterative_relation_finetune,1.0,0.3461538553237915,0.07017602771520615,0.6538461446762085,0.5268487930297852,-0.001747979549691081,-0.004141635727137327,0,9,0.457782119512558
nan,mid,reliability_only,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,9,nan
0.75,high,reliability_only,6123,Amazon-ratings,0.0018931688973680139,iterative_relation_finetune,1.0,0.3461538553237915,0.07017602771520615,0.6538461446762085,0.5268487930297852,-0.001747979549691081,-0.004141635727137327,0,9,0.457782119512558
0.75,low,combined,6123,Amazon-ratings,0.001702866400592029,iterative_relation_frozen,1.0,0.1818181872367859,0.07027772814035416,0.8181818127632141,0.5250644087791443,0.003907768987119198,0.004141633398830891,0,0,0.4775436818599701
nan,mid,combined,0,Amazon-ratings,nan,iterative_relation_frozen,0.0,nan,nan,nan,nan,nan,nan,0,0,nan
0.75,high,combined,6123,Amazon-ratings,0.001702866400592029,iterative_relation_frozen,1.0,0.1818181872367859,0.07027772814035416,0.8181818127632141,0.5250644087791443,0.003907768987119198,0.004141633398830891,0,0,0.4775436818599701
0.75,low,combined,6123,Amazon-ratings,0.011721544899046421,iterative_relation_frozen,1.0,0.18518517911434174,0.07065358012914658,0.8148148059844971,0.5249931216239929,-0.0026651646476238966,0.0016766644548624754,0,1,0.46496814489364624
nan,mid,combined,0,Amazon-ratings,nan,iterative_relation_frozen,0.0,nan,nan,nan,nan,nan,nan,0,1,nan
0.75,high,combined,6123,Amazon-ratings,0.011721544899046421,iterative_relation_frozen,1.0,0.18518517911434174,0.07065358012914658,0.8148148059844971,0.5249931216239929,-0.0026651646476238966,0.0016766644548624754,0,1,0.46496814489364624
