alpha_pearson_test,alpha_spearman_test,component,component_auc_for_local_preference,component_corr_local_advantage,control_mode,dataset,family,seed,split,test_count
0.22379891713840916,0.2300718171637525,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,9,6123
-0.3467404624904767,-0.3364577027502559,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,9,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,8,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,8,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,8,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,8,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,9,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,9,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,9,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_frozen,0,9,6123
-0.3882717135762162,-0.4071819418351281,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,0,6123
