dataset,family,control_mode,split,seed,reported_test_primary_at_best_val,recomputed_test_primary_at_best_val,reproduction_delta,reproduction_status,base_alpha,alpha_mean,alpha_std,adjustment_mean,relation_to_base_norm,relation_update_gate_mean,preference_count,local_preference_count,global_preference_count,alpha_auc_for_local_preference,alpha_corr_signed_preference,alpha_corr_local_minus_global_correct,alpha_corr_local_advantage,mean_alpha_local_win_nodes,mean_alpha_global_win_nodes,mean_alpha_both_correct,mean_alpha_both_wrong,alpha_gap_local_minus_global,high_alpha_local_preference_rate,low_alpha_global_preference_rate
Amazon-ratings,iterative_relation_frozen,feature_only,1,0,0.46284499764442444,0.4636616110801697,0.0008166134357452393,ok,1.0,1.0,0.0,0.0,0.0,0.4967385530471802,1811,904,907,0.5,nan,nan,nan,1.0,1.0,1.0,1.0,0.0,0.49917173385620117,0.5008282661437988
Amazon-ratings,iterative_relation_frozen,feature_only,2,0,0.4768904149532318,0.4728074371814728,-0.004082977771759033,suspect,0.75,0.75,0.0,0.0,0.0,0.49546337127685547,1885,956,929,0.5,nan,nan,nan,0.75,0.75,0.75,0.75,0.0,0.5071617960929871,0.49283820390701294
Amazon-ratings,iterative_relation_frozen,reliability_only,0,0,0.4679078757762909,0.4646415114402771,-0.003266364336013794,suspect,0.75,0.75,0.0,0.0,0.0,0.4989258944988251,2345,1017,1328,0.5,nan,nan,nan,0.75,0.75,0.75,0.75,0.0,0.4336887001991272,0.5663112998008728
Amazon-ratings,iterative_relation_frozen,reliability_only,1,0,0.4613751471042633,0.4636616110801697,0.002286463975906372,suspect,1.0,1.0,0.0,0.0,0.0,0.4991818964481354,1811,904,907,0.5,nan,nan,nan,1.0,1.0,1.0,1.0,0.0,0.49917173385620117,0.5008282661437988
Amazon-ratings,iterative_relation_frozen,reliability_only,2,0,0.47558385133743286,0.4700310230255127,-0.005552828311920166,suspect,0.75,0.753759503364563,0.0014406756963580847,0.07178010791540146,0.4572503864765167,0.4108525514602661,1885,956,929,0.48389751881494025,-0.0431516624115524,-0.023666251708717854,-0.006248744512830101,0.7537398934364319,0.7538623809814453,0.7535936236381531,0.7538875341415405,-0.00012248754501342773,0.5030060410499573,0.454356849193573
Roman-empire,iterative_relation_finetune,combined,0,0,0.839922308921814,0.8450405597686768,0.005118250846862793,suspect,0.75,0.7835274338722229,0.0050992961041629314,0.05247706174850464,0.5666700601577759,0.5362088680267334,2371,414,1957,0.5184072288502317,0.02502744216082026,0.01416219499932897,-0.008043724359092966,0.7838018536567688,0.7834833860397339,0.7833021283149719,0.7838689088821411,0.0003184676170349121,0.19480518996715546,0.818493127822876
Roman-empire,iterative_relation_finetune,combined,1,0,0.8540416359901428,0.8496293425559998,-0.004412293434143066,suspect,0.5,0.5383490324020386,0.00433961721137166,0.0547095388174057,0.5358964204788208,0.4913478195667267,2364,415,1949,0.49709891386994876,-0.00014611279094081255,0.031385526869046595,0.09227001090387588,0.5380202531814575,0.5380220413208008,0.5383795499801636,0.5387141704559326,-1.7881393432617188e-06,0.18286655843257904,0.8315467238426208
Roman-empire,iterative_relation_finetune,combined,2,0,0.8423932194709778,0.8438051342964172,0.0014119148254394531,suspect,0.75,0.7790073156356812,0.0050386120565235615,0.0467614084482193,0.5104862451553345,0.5624418258666992,2323,378,1945,0.5056317242692564,0.04220836634557697,0.055405835808731756,0.021553399083821305,0.7792066931724548,0.778597354888916,0.7786061763763428,0.7800019383430481,0.0006093382835388184,0.16287878155708313,0.8455149531364441
Roman-empire,iterative_relation_finetune,feature_only,0,0,0.816272497177124,0.8102717995643616,-0.006000697612762451,suspect,0.75,0.75,0.0,0.0,0.0,0.44482195377349854,2371,414,1957,0.5,nan,nan,nan,0.75,0.75,0.75,0.75,0.0,0.17460986971855164,0.8253901600837708
Roman-empire,iterative_relation_finetune,feature_only,1,0,0.8339216113090515,0.8183903694152832,-0.01553124189376831,suspect,0.5,0.5,0.0,0.0,0.0,0.44638529419898987,2364,415,1949,0.5,nan,nan,nan,0.5,0.5,0.5,0.5,0.0,0.17554990947246552,0.8244500756263733
