tag,family,label,components,graph_type,model,n,left_mean,right_mean,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_pvalue
rel_without_local_sim,without,Without local similarity,"degree,neighbor_variance,rwse",noisy,reliability_gt,10,0.6138095319271087,0.6117460429668427,0.002063488960266113,0.02540839745104928,-0.016112583626438526,0.02023956154697075,4,0,6,0.8030941881920066
rel_without_neighbor_var,without,Without neighbor variance,"degree,local_similarity,rwse",heterophily,gate_gt,10,0.8530158996582031,0.8411111295223236,0.011904770135879516,0.024467693294351795,-0.00559836323583964,0.02940790350759867,6,0,4,0.15828220677557653
rel_without_neighbor_var,without,Without neighbor variance,"degree,local_similarity,rwse",heterophily,reliability_gt,10,0.8768254220485687,0.8636508107185363,0.013174611330032348,0.01585624462906367,0.0018317372315911264,0.024517485428473568,8,0,2,0.027472455705494375
rel_without_neighbor_var,without,Without neighbor variance,"degree,local_similarity,rwse",homophily,gate_gt,10,0.9707936644554138,0.9685714423656464,0.002222222089767456,0.0037562381096448226,-0.00046482878250355547,0.004909272962038467,5,4,1,0.09417387648463436
rel_without_neighbor_var,without,Without neighbor variance,"degree,local_similarity,rwse",homophily,reliability_gt,10,0.9704762041568756,0.9682539880275727,0.0022222161293029784,0.005708404188681594,-0.001861330229243167,0.006305762487849123,6,3,1,0.2495080278401215
rel_without_neighbor_var,without,Without neighbor variance,"degree,local_similarity,rwse",noisy,gate_gt,10,0.6106349229812622,0.6071428656578064,0.0034920573234558105,0.01806395040646405,-0.009430114349239127,0.016414228996150748,4,1,5,0.5561116131475394
rel_without_neighbor_var,without,Without neighbor variance,"degree,local_similarity,rwse",noisy,reliability_gt,10,0.6126984179019928,0.6117460429668427,0.0009523749351501465,0.02423718519456695,-0.01638586287550167,0.018290612745801963,5,0,5,0.9038416832171767
rel_without_rwse,without,Without RWSE,"degree,local_similarity,neighbor_variance",heterophily,gate_gt,10,0.8576190710067749,0.8411111295223236,0.016507941484451293,0.02204768944360053,0.0007359745798854317,0.032279908389017155,9,1,0,0.04206603482467358
rel_without_rwse,without,Without RWSE,"degree,local_similarity,neighbor_variance",heterophily,reliability_gt,10,0.8612698554992676,0.8636508107185363,-0.002380955219268799,0.02511138725214872,-0.02034455950904095,0.015582649070503354,6,0,4,0.7711134640284636
rel_without_rwse,without,Without RWSE,"degree,local_similarity,neighbor_variance",homophily,gate_gt,10,0.9680952489376068,0.9685714423656464,-0.00047619342803955077,0.006307193676714888,-0.004988087982083536,0.004035701126004434,4,1,5,0.816645532540605
rel_without_rwse,without,Without RWSE,"degree,local_similarity,neighbor_variance",homophily,reliability_gt,10,0.9715873181819916,0.9682539880275727,0.0033333301544189453,0.007647290514463116,-0.0021372119272013703,0.008803872236039262,6,1,3,0.20137887015713385
rel_without_rwse,without,Without RWSE,"degree,local_similarity,neighbor_variance",noisy,gate_gt,10,0.6068254083395004,0.6071428656578064,-0.00031745731830596925,0.031567405798550774,-0.022899419060435633,0.022264504423823696,5,0,5,0.9753245025662571
rel_without_rwse,without,Without RWSE,"degree,local_similarity,neighbor_variance",noisy,reliability_gt,10,0.6152381122112274,0.6117460429668427,0.0034920692443847655,0.025723205674128363,-0.01490920357876141,0.021893342067530942,6,0,4,0.6778009028154969
