model,graph_type,seed,best_val_acc,test_acc_at_best_val,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
mlp,homophily,0,0.6277777552604675,0.6634920835494995,0.11086344718933105,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,1,0.6499999761581421,0.6714285612106323,0.08885836601257324,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,2,0.7388888597488403,0.6380952596664429,0.08686161041259766,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,3,0.7222222089767456,0.6650793552398682,0.09565305709838867,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,4,0.6499999761581421,0.5952380895614624,0.11996936798095703,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,5,0.6666666865348816,0.641269862651825,0.13156795501708984,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,6,0.7111111283302307,0.6746031641960144,0.11783051490783691,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,7,0.6333333253860474,0.6650793552398682,0.10846734046936035,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,8,0.7388888597488403,0.7158730030059814,0.15210866928100586,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,homophily,9,0.6111111044883728,0.620634913444519,0.09497284889221191,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,0,1.0,0.9984126687049866,0.4024341106414795,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,1,0.9944444298744202,0.9984126687049866,0.5548789501190186,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,2,0.9944444298744202,0.9968253970146179,0.5027158260345459,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,3,1.0,0.9968253970146179,0.3779408931732178,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,4,1.0,0.9920634627342224,0.3997311592102051,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,5,1.0,0.9968253970146179,0.7275803089141846,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,6,1.0,0.9984126687049866,0.47456979751586914,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,7,1.0,0.9952380657196045,0.37238502502441406,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,8,1.0,0.9936507940292358,0.4313523769378662,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,homophily,9,0.9944444298744202,0.9888888597488403,0.41374826431274414,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,0,0.9555555582046509,0.9396825432777405,5.124521970748901,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,1,0.9333333373069763,0.9428571462631226,2.2177748680114746,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,2,0.9444444179534912,0.9285714030265808,1.8843328952789307,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,3,0.9611111283302307,0.9111111164093018,2.833933115005493,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,4,0.894444465637207,0.8666666746139526,2.562436103820801,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,5,0.9166666865348816,0.8920634984970093,3.2139780521392822,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,6,0.9333333373069763,0.8999999761581421,1.8249609470367432,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,7,0.9611111283302307,0.9460317492485046,5.000241994857788,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,8,0.9555555582046509,0.9333333373069763,2.119121551513672,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,9,0.9222221970558167,0.9222221970558167,1.9097745418548584,nan,nan,nan,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,0,0.9222221970558167,0.9174603223800659,4.796748161315918,0.007971876533702016,0.006948356982320547,0.008995396085083485,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,1,0.9222221970558167,0.9428571462631226,3.4445438385009766,0.007078208262100816,0.006747580599039793,0.0074088359251618385,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,2,0.9333333373069763,0.9158729910850525,2.2839345932006836,0.0070976831484586,0.006909296847879887,0.0072860694490373135,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,3,0.9666666388511658,0.9190475940704346,2.814863443374634,0.0068641088437289,0.006779768504202366,0.006948449183255434,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,4,0.9333333373069763,0.9174603223800659,4.978195667266846,0.007156612118706107,0.006769068073481321,0.007544156163930893,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,5,0.9111111164093018,0.9126983880996704,2.180410861968994,0.00715353456325829,0.006978520657867193,0.007328548468649387,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,6,0.9611111283302307,0.9412698149681091,5.545745134353638,0.007187404669821262,0.006959816440939903,0.0074149928987026215,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,7,0.949999988079071,0.9285714030265808,4.180818319320679,0.007438743952661753,0.006859303452074528,0.008018184453248978,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,8,0.9722222089767456,0.9571428298950195,4.579817295074463,0.0067034808453172445,0.006757120601832867,0.006649841088801622,nan,nan,nan,nan,nan,nan
q_only_gt,homophily,9,0.9555555582046509,0.9396825432777405,3.5383591651916504,0.0069584238808602095,0.006806808989495039,0.00711003877222538,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,0,0.9222221970558167,0.920634925365448,5.391405820846558,0.0065031221602112055,0.006631864700466394,0.0063743796199560165,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,1,0.9222221970558167,0.9428571462631226,3.6281466484069824,0.006648128619417548,0.006738833151757717,0.006557424087077379,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,2,0.9333333373069763,0.9158729910850525,2.341179132461548,0.0066738915629684925,0.0066363392397761345,0.0067114438861608505,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,3,0.9666666388511658,0.9190475940704346,2.8488569259643555,0.006574114318937063,0.006459072697907686,0.00668915593996644,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,4,0.9333333373069763,0.9174603223800659,5.006283760070801,0.006551092490553856,0.00662020780146122,0.006481977179646492,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,5,0.9111111164093018,0.9111111164093018,2.1945600509643555,0.00643124314956367,0.006509553175419569,0.006352933123707771,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,6,0.9611111283302307,0.9412698149681091,4.59832239151001,0.006389291491359472,0.006588001735508442,0.006190581247210503,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,7,0.949999988079071,0.9285714030265808,3.763658285140991,0.006409127498045564,0.006517665460705757,0.00630058953538537,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,8,0.9722222089767456,0.9571428298950195,4.6670331954956055,0.006516255438327789,0.006389189511537552,0.006643321365118027,nan,nan,nan,nan,nan,nan
k_only_gt,homophily,9,0.9555555582046509,0.9396825432777405,3.9097752571105957,0.0066022195387631655,0.006565506104379892,0.006638932973146439,nan,nan,nan,nan,nan,nan
qk_gt,homophily,0,0.9222221970558167,0.9190475940704346,5.523679733276367,0.007087410194799304,0.006757114082574844,0.007417706307023764,nan,nan,nan,nan,nan,nan
qk_gt,homophily,1,0.9222221970558167,0.9428571462631226,3.7111763954162598,0.006917847087606788,0.006762434728443623,0.007073259446769953,nan,nan,nan,nan,nan,nan
qk_gt,homophily,2,0.9333333373069763,0.9158729910850525,2.511164426803589,0.006916011683642864,0.006737684365361929,0.0070943390019237995,nan,nan,nan,nan,nan,nan
qk_gt,homophily,3,0.9666666388511658,0.9190475940704346,3.5178678035736084,0.006643602391704917,0.006499218288809061,0.006787986494600773,nan,nan,nan,nan,nan,nan
qk_gt,homophily,4,0.9333333373069763,0.9174603223800659,5.795306921005249,0.006755922455340624,0.006643648725003004,0.006868196185678244,nan,nan,nan,nan,nan,nan
qk_gt,homophily,5,0.9111111164093018,0.9111111164093018,2.8968594074249268,0.0067447093315422535,0.006651504896581173,0.006837913766503334,nan,nan,nan,nan,nan,nan
qk_gt,homophily,6,0.9611111283302307,0.9412698149681091,5.406327486038208,0.0066888288129121065,0.006723556201905012,0.006654101423919201,nan,nan,nan,nan,nan,nan
qk_gt,homophily,7,0.949999988079071,0.9285714030265808,4.102913856506348,0.006802547723054886,0.0065817199647426605,0.007023375481367111,nan,nan,nan,nan,nan,nan
qk_gt,homophily,8,0.9722222089767456,0.9571428298950195,5.0899858474731445,0.00653804955072701,0.00639830157160759,0.00667779752984643,nan,nan,nan,nan,nan,nan
qk_gt,homophily,9,0.9555555582046509,0.9396825432777405,4.12912917137146,0.00675668241456151,0.0066134752705693245,0.006899889558553696,nan,nan,nan,nan,nan,nan
gate_gt,homophily,0,0.9833333492279053,0.958730161190033,2.104851722717285,nan,nan,nan,-0.053430597014983656,-0.046471726986194624,0.20961353406980374,0.07881429353242808,-0.13536496660238884,-0.039404904665614846
gate_gt,homophily,1,0.9666666388511658,0.9730158448219299,2.207841157913208,nan,nan,nan,-0.15736286927577608,-0.10284644364142927,0.09383406398802129,-0.35927575575381343,-0.08843825026177378,-0.07541520369109161
gate_gt,homophily,2,0.9722222089767456,0.9555555582046509,2.1036527156829834,nan,nan,nan,0.02647440176631379,-0.11851131510343738,0.10760865387898855,-0.19641974480849764,-0.17176193398661244,-0.11805467240573152
gate_gt,homophily,3,0.9944444298744202,0.9555555582046509,2.8402624130249023,nan,nan,nan,-0.1016149621474521,0.016130977952753967,-0.094863686439224,-0.09658979252074794,0.1937501716604908,-0.01817741813941772
gate_gt,homophily,4,0.9555555582046509,0.9507936239242554,3.4093759059906006,nan,nan,nan,0.17785726435150234,0.03932609164244717,0.10135230690117797,-0.19986709286345766,0.3432871907681409,0.03419386295742224
gate_gt,homophily,5,0.9555555582046509,0.938095211982727,2.473487138748169,nan,nan,nan,0.18982482851977003,-0.006295971572314694,0.21783108896513556,-0.6490779679884241,-0.007323288604839782,0.0588776732990766
gate_gt,homophily,6,0.9888888597488403,0.9777777791023254,2.7459006309509277,nan,nan,nan,-0.19187223066265843,-0.0659186097871617,-0.3008572215939822,0.07919150189722447,-0.03720284444444698,-0.0652372140918241
gate_gt,homophily,7,0.9888888597488403,0.9777777791023254,2.9131858348846436,nan,nan,nan,0.14466775505655302,-0.054185740765612674,-0.06095141891242029,0.4651819881327922,-0.0522015811930794,-0.030541238995882885
gate_gt,homophily,8,0.9888888597488403,0.9873015880584717,3.2914164066314697,nan,nan,nan,-0.23611391535016127,-0.08950070969793249,-0.026249629872105797,0.038413922549446575,-0.2405558884363579,-0.05752597393862892
gate_gt,homophily,9,0.9888888597488403,0.9825396537780762,2.8996527194976807,nan,nan,nan,-0.1553781754288311,-0.04909297680289508,-0.06478112249608058,-0.12986032935371206,0.2192380336974392,-0.054942839719717924
reliability_gt,homophily,0,0.9888888597488403,0.9650793671607971,2.9349422454833984,0.006760523421689868,0.006586994044482708,0.006934052798897028,-0.1030160032722172,-0.051026232645036036,-0.22519075157019808,-0.276662301319255,0.16391125773182255,-0.11846640859312894
reliability_gt,homophily,1,0.9611111283302307,0.9825396537780762,3.116361141204834,0.006775685818865895,0.006592022720724344,0.006959348917007446,-0.11958372973705994,-0.10649617974747318,0.024069616331712212,-0.055916304801484615,-0.0811933682156938,-0.10274995456407907
reliability_gt,homophily,2,0.9777777791023254,0.9730158448219299,3.053262948989868,0.00675017898902297,0.0066617801785469055,0.006838577799499035,0.09026217690523626,0.0051695739336984434,0.07550403680604692,-0.014201512318887357,-0.14306336422765423,0.008564952435786314
reliability_gt,homophily,3,0.9944444298744202,0.9746031761169434,2.9417884349823,0.0068830521777272224,0.006737732328474522,0.007028372026979923,-0.21601871418685775,0.02622362255843853,-0.17639057020916657,-0.016747184226692104,-0.04572660785585605,0.026514351865091587
reliability_gt,homophily,4,0.9722222089767456,0.9476190209388733,2.489893913269043,0.00688407733105123,0.00666060671210289,0.007107547949999571,-0.06374524528708116,-0.1122562883132992,0.020302377459837616,0.10441143528096583,0.2734012935135917,-0.11324864018583063
reliability_gt,homophily,5,0.9777777791023254,0.9777777791023254,4.277847051620483,0.006757716415449977,0.00671748910099268,0.006797943729907274,-0.05166688991143579,-0.010607167865914032,0.1264485732479309,-0.17929418429674937,0.059553249677297145,-0.04384623989737783
reliability_gt,homophily,6,0.9777777791023254,0.958730161190033,4.420604467391968,0.006714462535455823,0.006519373506307602,0.006909551564604044,-0.0709964924332358,-0.21320178234241435,-0.0868422752690498,0.08897633324977301,-0.2608610741778481,-0.09892426651547766
reliability_gt,homophily,7,0.9888888597488403,0.9809523820877075,3.2391197681427,0.006881741341203451,0.006657402031123638,0.007106080651283264,0.014130171000058731,-0.07052001279102936,0.02948644524716399,-0.12970013533386834,0.08034156977443649,-0.0706104577737782
reliability_gt,homophily,8,0.9888888597488403,0.9730158448219299,2.6843221187591553,0.006879899417981505,0.006646390073001385,0.007113408762961626,-0.05149834044242125,-0.029889796038844778,-0.09133373585564873,-0.11030247403747068,0.19893762017750724,-0.030980373730649276
