dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Pubmed,hidden_mixing_frozen,feature_only,10,0.7288000404834747,0.014386106132916946,0.7321399049258563,0.7289000391960144,-9.999871253967285e-05,0.875,0.8748805582523346,0.005316920019686222,0.011704144440591336,0.01967227291315794,-0.044276940180125915,-0.04648666005775421,nan,34948.0,25348.0,0.0
Pubmed,hidden_mixing_frozen,fixed,10,0.7289000391960144,0.014313981903524835,0.732430578395265,0.7289000391960144,0.0,0.875,0.875,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Pubmed,hidden_mixing_frozen,reliability_only,10,0.7287000417709351,0.014269200728695803,0.7320911373390917,0.7289000391960144,-0.0001999974250793457,0.875,0.8742156505584717,0.00461521940305829,0.013559899758547544,0.019285407126881184,-0.13795577556343358,-0.5379971452473065,-0.6846414670267261,34948.0,26372.0,0.0
Pubmed,hidden_mixing_frozen,shuffled_reliability,10,0.7285000383853912,0.014235527447516706,0.7318617352225748,0.7289000391960144,-0.0004000008106231689,0.875,0.8650507748126983,0.013049130700528622,0.021614876575767994,0.03623265312053263,-0.0018565537845117463,0.0023009466969463837,-0.2467416431999605,34948.0,26372.0,0.0
Pubmed,hidden_mixing_frozen,zero_reliability,10,0.7286000370979309,0.01454785652365597,0.7319759086613984,0.7289000391960144,-0.0003000020980834961,0.875,0.8753547370433807,0.001824541762471199,0.008675755653530359,0.013436177372932434,nan,nan,nan,34948.0,26372.0,0.0
Roman-empire,hidden_mixing_finetune,combined,10,0.8354394435882568,0.0046703219544597715,0.7901602857697649,0.818866902589798,0.01657254099845886,0.75,0.7425944745540619,0.02767349313944578,0.03121058102697134,0.09999994412064553,-0.1339954306386759,0.2273747211557329,0.4657530544522545,130646.0,34948.0,95698.0
Roman-empire,hidden_mixing_finetune,combined_constant,10,0.8242322385311127,0.005978571986812966,0.7742198447750853,0.818866902589798,0.005365335941314697,0.75,0.7447504281997681,0.005757393126259558,0.006320764101110399,0.019822971569374202,-0.06416780483498892,0.015714644454968146,nan,130646.0,34948.0,95698.0
Roman-empire,hidden_mixing_finetune,combined_shuffled,10,0.8239674985408783,0.00476865877844149,0.7733560378912657,0.818866902589798,0.0051005959510803224,0.75,0.7447086572647095,0.008509466960094868,0.009250753151718527,0.07166334423236549,-0.02023544078960658,-0.02282514519961725,-0.15760538278028058,130646.0,34948.0,95698.0
Roman-empire,hidden_mixing_finetune,constant_reliability,10,0.8249911546707154,0.005170437626106052,0.775594021162749,0.818866902589798,0.006124252080917358,0.75,0.7449791848659515,0.005166344099234266,0.006122483499348163,0.011500111885834486,nan,nan,nan,130646.0,26372.0,95698.0
Roman-empire,hidden_mixing_finetune,feature_only,10,0.8248676002025604,0.0056834740528221095,0.7764218934522404,0.818866902589798,0.006000697612762451,0.75,0.7439486563205719,0.008394586680515204,0.0072817537526134405,0.04404110021423548,-0.045733147699960126,0.034491347135894676,nan,130646.0,25348.0,95698.0
Roman-empire,hidden_mixing_finetune,fixed,10,0.8231026947498321,0.007623147851175528,0.7728703801387895,0.818866902589798,0.00423579216003418,0.75,0.75,0.0,0.0,0.0,nan,nan,nan,95698.0,0.0,95698.0
Roman-empire,hidden_mixing_finetune,reliability_only,10,0.8334803819656372,0.003958494277267798,0.7871568069631132,0.818866902589798,0.014613479375839233,0.75,0.7411527127027512,0.028262621723115444,0.03171172589063644,0.09997200518846512,-0.1488003651560376,0.22513696080867057,0.48315717577543277,130646.0,26372.0,95698.0
Roman-empire,hidden_mixing_finetune,shuffled_reliability,10,0.824638170003891,0.006613217628583417,0.7747649738671772,0.818866902589798,0.005771267414093018,0.75,0.7484806120395661,0.0032978783594444392,0.004442892584484071,0.03270993412006647,-0.001983502150442594,0.0009609325858437087,-0.10797281074544739,130646.0,26372.0,95698.0
Roman-empire,hidden_mixing_finetune,zero_reliability,10,0.8247264206409455,0.005500453377959024,0.7754425075276336,0.818866902589798,0.005859518051147461,0.75,0.7450752556324005,0.0051722737171076005,0.006066345219733193,0.011539397743763401,nan,nan,nan,130646.0,26372.0,95698.0
Roman-empire,hidden_mixing_frozen,combined,10,0.8222202360630035,0.006881822637331843,0.7716260753215898,0.818866902589798,0.0033533334732055663,0.75,0.7576507866382599,0.018956707813777028,0.056737792922649535,0.09286533370614052,0.03317448674663952,-0.06477987030767468,0.0841951302519507,34948.0,34948.0,0.0
Roman-empire,hidden_mixing_frozen,combined_constant,10,0.8196258246898651,0.006804420673360946,0.7686172574296262,0.818866902589798,0.0007589221000671387,0.75,0.7583463907241821,0.010637656258222706,0.04084430782531854,0.07018107736657839,-0.016580967416489158,0.06513856041635085,nan,34948.0,34948.0,0.0
Roman-empire,hidden_mixing_frozen,combined_shuffled,10,0.8195552170276642,0.006320852233020217,0.7681724939527329,0.818866902589798,0.0006883144378662109,0.75,0.7572081208229064,0.009863443296126206,0.0350731434620684,0.06451591894146987,-0.008196645493352826,0.05636941995506998,-0.13637010066912472,34948.0,34948.0,0.0
Roman-empire,hidden_mixing_frozen,constant_reliability,10,0.8193963825702667,0.00638988548293132,0.7681622124279275,0.818866902589798,0.00052947998046875,0.75,0.7560814678668976,0.004393288443225174,0.021624872628308367,0.0359367657409166,nan,nan,nan,34948.0,26372.0,0.0
Roman-empire,hidden_mixing_frozen,feature_only,10,0.8199082016944885,0.006830088428583474,0.7684954702678162,0.818866902589798,0.0010412991046905517,0.75,0.7570861220359802,0.008730111945260433,0.03169352643017191,0.06063810347695835,-0.0027340891359031927,0.06665392121418935,nan,34948.0,25348.0,0.0
Roman-empire,hidden_mixing_frozen,fixed,10,0.818866902589798,0.005782365046270394,0.7668827960640134,0.818866902589798,0.0,0.75,0.75,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
