dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Amazon-ratings,hidden_protocol,constant_reliability: finetune - frozen,10,0.0035440176725387573,-2.0153695998496434e-05,0.0071081890410760115,5,4,1,0.051056140440725394
Amazon-ratings,hidden_protocol,zero_reliability: finetune - frozen,10,0.00444226861000061,-0.00018558237304655816,0.009070119593047779,6,2,2,0.05797716638856897
Amazon-ratings,hidden_protocol,combined_shuffled: finetune - frozen,10,0.006353095173835754,0.0015374581418167808,0.011168732205854728,8,2,0,0.015340110964316155
Amazon-ratings,hidden_protocol,combined_constant: finetune - frozen,10,0.006157112121582031,0.0018072378373856675,0.010506986405778395,8,1,1,0.01079636697050911
Cora,hidden_protocol,fixed: finetune - frozen,10,0.01290000081062317,0.0023786014572588273,0.023421400163987513,7,3,0,0.02162693517025538
Cora,hidden_protocol,feature_only: finetune - frozen,10,0.006099998950958252,-0.002894737118633103,0.015094735020549607,3,7,0,0.1593650222633677
Cora,hidden_protocol,reliability_only: finetune - frozen,10,0.006199997663497925,-0.0027652962631426253,0.015165291590138474,3,7,0,0.1521609192722258
Cora,hidden_protocol,combined: finetune - frozen,10,0.010600000619888306,-0.004049589734724975,0.025249590974501586,3,7,0,0.1360931274665229
Cora,hidden_protocol,shuffled_reliability: finetune - frozen,10,0.0067999958992004395,-0.0025563263679496007,0.016156318166350478,3,7,0,0.13456903443420762
Cora,hidden_protocol,constant_reliability: finetune - frozen,10,0.008799999952316284,-0.0028026026100794986,0.020402602514712067,3,7,0,0.12034734388458708
Cora,hidden_protocol,zero_reliability: finetune - frozen,10,0.006099998950958252,-0.002850378564879791,0.015050376466796295,3,7,0,0.15752755776239696
Cora,hidden_protocol,combined_shuffled: finetune - frozen,10,0.006399995088577271,-0.002824125331739969,0.01562411550889451,3,7,0,0.15096426828751078
Cora,hidden_protocol,combined_constant: finetune - frozen,10,0.005900001525878907,-0.003126285341536004,0.014926288393293817,3,7,0,0.17335746892466578
Citeseer,hidden_protocol,fixed: finetune - frozen,10,0.0009999990463256836,-0.0036360496737737344,0.005636047766425101,2,7,1,0.6372528358482128
Citeseer,hidden_protocol,feature_only: finetune - frozen,10,-0.0003000020980834961,-0.00535889692727844,0.004758892731111448,2,5,3,0.8962357738016791
Citeseer,hidden_protocol,reliability_only: finetune - frozen,10,0.0,-0.0059086102212040454,0.0059086102212040454,3,4,3,1.0
Citeseer,hidden_protocol,combined: finetune - frozen,10,-0.0022000014781951905,-0.005174450616343463,0.0007744476599530815,1,5,4,0.12862255516638776
Citeseer,hidden_protocol,shuffled_reliability: finetune - frozen,10,0.0007999956607818604,-0.006215521666716367,0.007815512988280088,3,4,3,0.8022403086915384
Citeseer,hidden_protocol,constant_reliability: finetune - frozen,10,0.0014999985694885253,-0.004135250316847782,0.0071352474558248336,3,5,2,0.5619392770002569
Citeseer,hidden_protocol,zero_reliability: finetune - frozen,10,0.0011999964714050292,-0.00402204671706455,0.006422039659874607,3,4,3,0.6157238737493886
